Number,Word,Definition
167,encumbrance,burden
168,enigma(tic),"mystery, mysterious"
169,enumerate,list
170,ephemeral,short-lived
171,epiphany,sudden realization
172,"epitome, epitomize",representative example
173,equanimity,calmness
174,equitable,even-handed
175,equivocal,ambiguous
176,"erudite, erudition",scholarly
177,esoteric,understood only by a few
178,"estrange, estrangement","alienate, alienation"
179,"eulogy, eulogize",praising speech
180,evoke,"bring about, stir up"
181,exacting,"demanding, severe requirements"
182,excavate,"unearth, dig up"
183,exemplar,representative example
184,"exhibitionist, exhibitionistic",deliberately behaving a certain way to attract attention
185,exhort,encourage
186,exorbitant,too expensive
187,expedient,useful
188,exposé,a report designed to reveal the truth to the public
189,extol,praise
190,extricate,disentangle
191,facile,"superficial, effortless"
192,faction,group within a larger group
193,fallacious,"deceitful, incorrect"
194,fallacy,false belief
195,fanaticism,excessive enthusiasm
196,fastidious,careful
197,fathom (verb),understand
198,felicitous,"well-suited, happy"
199,finesse,"tact, elegant skill"
200,flagrant,"evident, obvious"
201,"flippant, flippancy",disrespectful
202,florid(ity),"flushed, flowery"
203,flummox,confuse
204,folly,foolishness
205,foolhardy,recklessly daring
206,forlorn,sad
207,fortitude,courage
208,fortuitous,"fortunate, lucky"
209,fraudulent,deceitful
210,frugal(ity),cheap(ness)
211,furor,"commotion, anger"
212,furtive,sneaky
213,"futile, futility",hopeless
214,gait,manner of walking
215,gallant(ry),courageous
216,gargantuan,gigantic
217,garish,tastelessly showy
218,genial,friendly
219,germinate,(cause to) grow
220,glutton(ous),someone who eats and drinks too much
221,grandiose,"pompous, pretentious"
222,hackneyed,common
223,hamper (verb),"hinder, restrict"
224,hardy,"robust, sturdy"
225,hasten,speed up the progress of
226,"heresy, heretic",belief contrary to the established opinion
227,histrionic,excessively dramatic or emotional
228,hubris,arrogance
229,"idiosyncracy, idiosyncratic","unique personal trait, quirky"
230,idyllic,simply tranquil
231,"ignominy, ignominious","dishonor, humiliation"
232,illicit,illegal
233,impasse,obstacle
234,imperious,arrogant
235,impetuous,"rash, passionate"
236,"impudence, impudent","disrespectful, insolent"
237,inane,"senseless, stupid"
238,"incongruity, incongruous","inappropriateness, discrepancy"
239,"incredulous, incredulity",skeptical
240,incriminate,accuse someone of a crime
241,incubate,"develop, grow"
242,indeterminate,"left doubtful, inconclusive"
243,indict(ment),formally accuse of a crime
244,indigenous,native to a region
245,indignant,angered (by injustice)
246,indiscriminate,"unselective, random"
247,indolent,lazy
248,indomitable,too strong to be defeated
249,induce,cause
250,indulgent,lenient
251,ineffable,impossible to express in words
252,ineptitude,incompetence
253,"inert, inertia",not moving or active
254,ingenuous,"unsophisticated and trusting, naïve"
255,inherent,"intrinsic, natural"
256,inhibit(ing),restrain(ing)
257,innate,"intrinsic, natural"
258,innocuous,harmless
259,innuendo,implicit suggestion
260,inscrutable,mysterious
261,insipid,"dull, boring"
262,"insolence, insolent",disrespectful
263,instigate,"provoke, start"
264,insular(ity),related to or similar to an island
265,intrepid,courageous
266,inundate,flood
267,invoke,"call forth, appeal to"
268,irate,angry
269,"irony, ironic",incongruity between what is expected and what actually results
270,"irreverent, irreverence",disrespectful
271,jaded,"tired, bored"
272,jocular,cheerful
273,jovial,cheerful
274,judicious,fair
275,lackadaisical,"lacking energy, lethargic"
276,laconic,concise
277,laggard,lazy person
278,languid,"inactive, dreamy"
279,"latent, latency",the state of being not yet evident or active
280,"laud, laudatory",praise
281,listless,"languid, sluggish"
282,lithe,"graceful, supple"
283,lucid,"clear, easily understood"
284,lucrative,profitable
285,lull,short period of calm
286,lurid,"sensational, shocking"
287,luxuriant,"lush, elaborate"
288,"magnanimity, magnanimous","generosity, generous"
289,malleable,"capable of being shaped, pliable"
290,marred,scarred
291,maudlin,overly sentimental
292,melancholy,bleak
293,mercenary,motivated by money
294,mercurial,fickle
295,miserly,"cheap, stingy"
296,"mitigate, mitigator","moderate, alleviate"
297,modicum,small amount
298,morose,depressed
299,motley,"diverse, heterogeneous"
300,multifarious,many types
301,nebulous,vague
302,nefarious,evil
303,neophyte,beginner
304,"notoriety, notorious","infamous, ill fame"
305,noxious,poisonous
306,nuance,subtle difference
307,obdurate,stubborn
308,obstinate,stubborn(ness)
309,officious,"meddlesome, interfering"
310,onerous,"difficult, trying"
311,"opportunist, opportunistic","a person who takes advantage of opportunities, often unethically"
312,oracle,prophet
313,orthodox,"conservative, traditional"
314,ostensible,"apparent, seeming"
315,oversight,mistake
316,pacifist,one who completely opposes violence
317,pacify,"soothe, calm"
318,painstaking,careful
319,"palliate, palliative",relieve pain without curing
320,paradigm,clear example
321,parch,make dry
322,parody,intentional mockery
323,partisan,someone with biased beliefs
324,patronize,"financially support, be condescending towards"
325,paucity,scarcity
326,"pedant, pedantic, pedantry",a person who makes a great show of his knowledge
327,peevish,unpleasant
328,penchant,preference
329,penurious,"cheap, stingy"
330,peremptory,"bossy, decisive"
331,perfunctory,done routinely with little interest or care
332,peripheral,"outermost, secondary"
333,perquisite,"additional payment, bonus"
334,petulant,irritable
335,"philanthropist, philanthropic",someone who supports charity
336,"piety, pious",religious devotion
337,placate,calm someone down
338,placid,calm
339,plasticity,"malleability, the ability to be shaped or molded"
340,"plausible, plausibility",likely true
341,"plethora, plethoric",surplus
342,"pliable, pliant",easily shaped or influenced
343,polemical,controversial
344,prattle,babble
345,precarious,"dangerous, unstable"
346,precipitate,outcome
347,preclude,prevent
348,precocious,early development in maturity and intelligence
349,presumptuous,"too bold, arrogant"
350,pretext,misleading claim or appearance
351,prevaricator,liar
352,procure,get or provide
353,prodigious,huge
354,"profound, profundity","intense, significant"
355,"profuse, profusion",plentiful
356,"prohibitive, prohibition",restrictive
357,"proliferate, proliferation","grow, increase"
358,prolific,"fertile, fruitful"
359,pronouncement,formal declaration
360,propensity,"inclination, tendency"
361,proponent,supporter
362,prosaic,"lacking imagination, dull"
363,prospective,likely or expected to become
364,provident,"prudent, frugal"
365,provincial,"narrow-minded, unsophisticated"
366,punctilious,"meticulous, attentive to detail"
367,pundit,a knowledgeable commentator
368,quell,"suppress, quench"
369,quixotic,foolish
370,rampant,"unrestrained, growing"
371,ramshackle,poorly constructed
372,rancor(ous),bitter resentment
373,rapport,relationship
374,ratify,"approve, confirm"
375,raucous,"harsh, rowdy"
376,ravenous,"insatiable, having a huge appetite"
377,raze,"destroy, demolish"
378,reap,"harvest, gather"
379,rebuttal,"defense, counterargument"
380,recalcitrant,stubborn
381,recant,reject
382,recessive,tending to go backward
383,"recluse, reclusive",hermit
384,"rectify, rectitude","put right, correct"
385,redolent,"reminiscent, having smell"
386,"refutation, refute",arguing that a claim is false
387,regressive,tending to return or revert
388,relegate,demote
389,relinquish,give back
390,renounce,reject
391,repertory,collection
392,reprehensible,blameworthy
393,reprimand,belittle
394,reproach,scold
395,repudiate,reject
396,repugnant,"offensive, disgusting"
397,rescind,"annull, retract"
398,"reticent, reticence",emotionally reserved
399,reverent,"respectful, pious"
400,"rhetoric(al), rhetorician","(related to) elegant speech/writing, elegant speaker/writer"
401,"rouse, rousing","provoke, excite"
402,sage,wise
403,sanctimonious,"pretending to be religious, hypocritical"
404,sanction (verb),formally approve
405,sanctity,holiness
406,sanguine,"cheerfully confident, optimistic"
407,satiate,satisfy fully
408,"satire, satirical, satirize",sarcastic imitation
409,saturate,"flood, soak"
410,scanty,barely sufficient
411,scathing,harshly critical
412,scintillating,"lively, effervescent"
413,scope,"opportunity, range"
414,scrupulous,very careful and precise
415,"scrutinize, scrutiny",examine carefully
416,self-righteous,"smug, holier-than-thou"
417,self-serving,selfish
418,serendipity,luck
419,servile,"submissive, subservient"
420,shrewd,"astute, smart"
421,shroud,"hide, obscure"
422,simile,comparison
423,slight (verb),"insult, snub"
424,slipshod,"careless, sloppy"
425,solace,"comfort, consolation"
426,solicitous(ness),"expressing care or concern, often too much"
427,somber,bleak
428,sophistry,deceptive reasoning
429,spartan,"simple, self-disciplined"
430,sporadic,occurring at irregular intervals
431,spurious,"false, inauthentic"
432,spurn,reject with contempt
433,squander,waste
434,"stagnant, stagnation",not moving
435,stark(ness),"harsh, plain"
436,static (adjective),not moving
437,staunch,strong and loyal
438,steadfast,not yielding
439,stock (adjective),"standard, hackneyed"
440,strident,loud and harsh
441,"stupefy, stupefaction",bewilder
442,subservient,yielding
443,substantiate,"confirm, establish as genuine"
444,subversive,one who intends to overthrow the government
445,succulent,delicious
446,supercilious,arrogant
447,superfluous,more than necessary
448,supplant,to take the place of
449,surfeit,surplus
450,susceptible,easily influenced or affected
451,sycophant,"suck up, flatterer"
452,tangential,"digressive, irrelevant"
453,"teem, teeming",abundant
454,temperamental,moody
455,temporize,"delay, evade"
456,"tenacious, tenacity","stubborn, determined"
457,tenuous,"insignificant, flimsy"
458,tirade,critical speech
459,toady,suck-up
460,torpor,"drowsiness, apathy"
461,totalitarian,"undemocratic, rigid political control"
462,tout,praise
463,tractable,easily managed or controlled
464,transient,lasting for only a short time
465,treatise,extensive written argument about some topic
466,trepidation,apprehension
467,tribulation,suffering
468,trifling,"frivolous, unimportant"
469,trite,common
470,"truculent, truculence","aggressive, bad-tempered"
471,ubiquitous,"ever-present, pervasive"
472,unabashed,not embarrassed
473,uncanny,"extraordinary, weird"
474,uncouth,crude
475,unfathomable,"incomprehensible, unbelievable"
476,ungainly,clumsy
477,unruly,"boisterous, unrestrained"
478,unwitting,unintentional
479,urbane,"elegant, sophisticated"
480,usurp,seize power without authority
481,"vacuous, vacuity",empty
482,vanquish,"conquer, defeat"
483,vapid,"dull, uninteresting"
484,venal(ity),willing to accept bribes
485,venerable,"commanding respect because of age, dignity"
486,verbose,"wordy, long-winded"
487,vicarious,felt indirectly by imagining someone else's experiences
488,vigilant,"watchful, alert"
489,"vindicate, vindication",clear of blame or suspicion
490,vindictive,seeking revenge
491,"virtuoso, virtuosity",one with exceptional musical skill
492,virulent,poisonous
493,viscous,"thick, sticky"
494,vocation,career
495,vying,striving
496,waning,lessening
497,wayward,"selfish, stubborn"
498,wrath,anger
499,wry,clever or grim sense of humor
500,zealot,fanatic
